#Accession,SRA_Accession,Submitters,Release_Date,Strain,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
KT875905.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,38905,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,681,GenBank,partial,,,1.0,Australia,,Homo sapiens,,2006-04-12,,"Human gammaherpesvirus 4 isolate 38905 EBNA1 protein (BKRF1) gene, partial cds"
KT875907.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,38920,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,521,GenBank,partial,,,1.0,Australia,,Homo sapiens,,2006-12-12,,"Human gammaherpesvirus 4 isolate 38920 EBNA1 protein (BKRF1) gene, partial cds"
KT875908.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,38922,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,658,GenBank,partial,,,1.0,Australia,,Homo sapiens,,2008-09-01,,"Human gammaherpesvirus 4 isolate 38922 EBNA1 protein (BKRF1) gene, partial cds"
KT875909.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,38975,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,603,GenBank,partial,,,1.0,Australia,,Homo sapiens,,2008-12-02,,"Human gammaherpesvirus 4 isolate 38975 EBNA1 protein (BKRF1) gene, partial cds"
KT875910.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,38979,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,508,GenBank,partial,,,1.0,Australia,,Homo sapiens,,2008-09-05,,"Human gammaherpesvirus 4 isolate 38979 EBNA1 protein (BKRF1) gene, partial cds"
KT875912.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,38806,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,614,GenBank,partial,,,1.0,Australia,,Homo sapiens,,2008-01-21,,"Human gammaherpesvirus 4 isolate 38806 EBNA1 protein (BKRF1) gene, partial cds"
KT875913.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,38811,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,473,GenBank,partial,,,1.0,Australia,,Homo sapiens,,2008-03-31,,"Human gammaherpesvirus 4 isolate 38811 EBNA1 protein (BKRF1) gene, partial cds"
KT875914.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,38834,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,523,GenBank,partial,,,1.0,Australia,,Homo sapiens,,2008-04-02,,"Human gammaherpesvirus 4 isolate 38834 EBNA1 protein (BKRF1) gene, partial cds"
KT875917.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,38898,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,442,GenBank,partial,,,1.0,Australia,,Homo sapiens,,2007-11-09,,"Human gammaherpesvirus 4 isolate 38898 EBNA1 protein (BKRF1) gene, partial cds"
KT875918.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,38903,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,488,GenBank,partial,,,1.0,Australia,,Homo sapiens,,2007-11-30,,"Human gammaherpesvirus 4 isolate 38903 EBNA1 protein (BKRF1) gene, partial cds"
KT875920.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,38996,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,676,GenBank,partial,,,1.0,Australia,,Homo sapiens,,2008-07-15,,"Human gammaherpesvirus 4 isolate 38996 EBNA1 protein (BKRF1) gene, partial cds"
KT875922.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,39048,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,663,GenBank,partial,,,1.0,Australia,,Homo sapiens,,2008-01-14,,"Human gammaherpesvirus 4 isolate 39048 EBNA1 protein (BKRF1) gene, partial cds"
KT875923.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,38772,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,668,GenBank,partial,,,1.0,Australia,,Homo sapiens,,2007-10-12,,"Human gammaherpesvirus 4 isolate 38772 EBNA1 protein (BKRF1) gene, partial cds"
KT875924.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,38835,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,681,GenBank,partial,,,1.0,Australia,,Homo sapiens,,2007-03-09,,"Human gammaherpesvirus 4 isolate 38835 EBNA1 protein (BKRF1) gene, partial cds"
KT875925.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,38838,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,632,GenBank,partial,,,1.0,Australia,,Homo sapiens,,2008-02-26,,"Human gammaherpesvirus 4 isolate 38838 EBNA1 protein (BKRF1) gene, partial cds"
KT875927.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,38850,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,681,GenBank,partial,,,1.0,Australia,,Homo sapiens,,2007-11-12,,"Human gammaherpesvirus 4 isolate 38850 EBNA1 protein (BKRF1) gene, partial cds"
KT875928.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,38695,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,614,GenBank,partial,,,1.0,Australia,,Homo sapiens,,2007-04-10,,"Human gammaherpesvirus 4 isolate 38695 EBNA1 protein (BKRF1) gene, partial cds"
KT875929.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,38798,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,631,GenBank,partial,,,1.0,Australia,,Homo sapiens,,2006-12-22,,"Human gammaherpesvirus 4 isolate 38798 EBNA1 protein (BKRF1) gene, partial cds"
KT875932.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,38761,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,667,GenBank,partial,,,1.0,Australia,,Homo sapiens,,2008-08-25,,"Human gammaherpesvirus 4 isolate 38761 EBNA1 protein (BKRF1) gene, partial cds"
KT875933.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,38751,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,525,GenBank,partial,,,1.0,Australia,,Homo sapiens,,2006-08-12,,"Human gammaherpesvirus 4 isolate 38751 EBNA1 protein (BKRF1) gene, partial cds"
KT875934.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,39130,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,681,GenBank,partial,,,1.0,Australia,,Homo sapiens,,2009-03-17,,"Human gammaherpesvirus 4 isolate 39130 EBNA1 protein (BKRF1) gene, partial cds"
KT875935.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,39000,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,671,GenBank,partial,,,1.0,Australia,,Homo sapiens,,2007-10-22,,"Human gammaherpesvirus 4 isolate 39000 EBNA1 protein (BKRF1) gene, partial cds"
KT875936.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,38700,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,681,GenBank,partial,,,1.0,Australia,,Homo sapiens,,2007-07-12,,"Human gammaherpesvirus 4 isolate 38700 EBNA1 protein (BKRF1) gene, partial cds"
KT875937.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,38767,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,667,GenBank,partial,,,1.0,Australia,,Homo sapiens,,2008-01-05,,"Human gammaherpesvirus 4 isolate 38767 EBNA1 protein (BKRF1) gene, partial cds"
KT875938.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,38604,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,657,GenBank,partial,,,1.0,Australia,,Homo sapiens,,2008-05-08,,"Human gammaherpesvirus 4 isolate 38604 EBNA1 protein (BKRF1) gene, partial cds"
KT875939.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,38895,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,679,GenBank,partial,,,1.0,Australia,,Homo sapiens,,2006-08-12,,"Human gammaherpesvirus 4 isolate 38895 EBNA1 protein (BKRF1) gene, partial cds"
KT875941.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,38963,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,522,GenBank,partial,,,1.0,Australia,,Homo sapiens,,2007-10-16,,"Human gammaherpesvirus 4 isolate 38963 EBNA1 protein (BKRF1) gene, partial cds"
KT875942.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,39082,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,492,GenBank,partial,,,1.0,Australia,,Homo sapiens,,2008-10-10,,"Human gammaherpesvirus 4 isolate 39082 EBNA1 protein (BKRF1) gene, partial cds"
KT875943.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,38810,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,521,GenBank,partial,,,1.0,Australia,,Homo sapiens,,2007-05-09,,"Human gammaherpesvirus 4 isolate 38810 EBNA1 protein (BKRF1) gene, partial cds"
KT875944.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,38916,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,667,GenBank,partial,,,1.0,Australia,,Homo sapiens,,2008-01-10,,"Human gammaherpesvirus 4 isolate 38916 EBNA1 protein (BKRF1) gene, partial cds"
KT875945.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,57326,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,276,GenBank,partial,,,1.0,,,Homo sapiens,,,,"Human gammaherpesvirus 4 isolate 57326 EBNA1 protein (BKRF1) gene, partial cds"
KT875951.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,38694,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,276,GenBank,partial,,,1.0,Australia,,Homo sapiens,,2006-11-28,,"Human gammaherpesvirus 4 isolate 38694 EBNA1 protein (BKRF1) gene, partial cds"
KT875954.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,38812,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,276,GenBank,partial,,,1.0,Australia,,Homo sapiens,,2007-09-07,,"Human gammaherpesvirus 4 isolate 38812 EBNA1 protein (BKRF1) gene, partial cds"
KT875957.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,39064,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,276,GenBank,partial,,,1.0,Australia,,Homo sapiens,,2007-03-12,,"Human gammaherpesvirus 4 isolate 39064 EBNA1 protein (BKRF1) gene, partial cds"
KT875975.1,,"Tschochner,M., Leary,S., Cooper,D., Strautins,K., Chopra,A., Clark,H., Choo,L., Dunn,D., James,I., Carroll,W.M., Kermode,A.G., Nolan,D.",2016-02-14,,39039,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,276,GenBank,partial,,,1.0,Australia,,Homo sapiens,,2008-10-11,,"Human gammaherpesvirus 4 isolate 39039 EBNA1 protein (BKRF1) gene, partial cds"
KP968257.1,,"Lei,H., Li,T., Li,B., Tsai,S., Biggar,R.J., Nkrumah,F., Neequaye,J., Gutierrez,M., Epelman,S., Mbulaiteye,S.M., Bhatia,K., Lo,S.C., Neequayee,J., Lo,S.-C.",2016-02-01,CCH,,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,171766,GenBank,partial,,,1.0,Brazil,,Homo sapiens,lymph_tumor,1980-10-11,,"Human herpesvirus 4 strain CCH, partial genome"
KP968258.1,,"Lei,H., Li,T., Li,B., Tsai,S., Biggar,R.J., Nkrumah,F., Neequaye,J., Gutierrez,M., Epelman,S., Mbulaiteye,S.M., Bhatia,K., Lo,S.C., Neequayee,J., Lo,S.-C.",2016-02-01,MP,,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,171711,GenBank,partial,,,1.0,Brazil,,Homo sapiens,lymph_tumor,1980-10-11,,"Human herpesvirus 4 strain MP, partial genome"
KP968259.1,,"Lei,H., Li,T., Li,B., Tsai,S., Biggar,R.J., Nkrumah,F., Neequaye,J., Gutierrez,M., Epelman,S., Mbulaiteye,S.M., Bhatia,K., Lo,S.C., Neequayee,J., Lo,S.-C.",2016-02-01,SCL,,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,171814,GenBank,partial,,,1.0,Brazil,,Homo sapiens,lymph_tumor,1980-10-11,,"Human herpesvirus 4 strain SCL, partial genome"
KP968260.1,,"Lei,H., Li,T., Li,B., Tsai,S., Biggar,R.J., Nkrumah,F., Neequaye,J., Gutierrez,M., Epelman,S., Mbulaiteye,S.M., Bhatia,K., Lo,S.C., Neequayee,J., Lo,S.-C.",2016-02-01,VGO,,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,171665,GenBank,partial,,,1.0,Brazil,,Homo sapiens,lymph_tumor,1980-10-11,,"Human herpesvirus 4 strain VGO, partial genome"
KP968261.1,,"Lei,H., Li,T., Li,B., Tsai,S., Biggar,R.J., Nkrumah,F., Neequaye,J., Gutierrez,M., Epelman,S., Mbulaiteye,S.M., Bhatia,K., Lo,S.C., Neequayee,J., Lo,S.-C.",2016-02-01,HU11393,,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,171805,GenBank,partial,,,1.0,Ghana,,Homo sapiens,lymph_tumor,1980-10-11,,"Human herpesvirus 4 strain HU11393, partial genome"
KP968262.1,,"Lei,H., Li,T., Li,B., Tsai,S., Biggar,R.J., Nkrumah,F., Neequaye,J., Gutierrez,M., Epelman,S., Mbulaiteye,S.M., Bhatia,K., Lo,S.C., Neequayee,J., Lo,S.-C.",2016-02-01,H018436D,,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,171794,GenBank,partial,,,1.0,Ghana,,Homo sapiens,lymph_tumor,1976-07-23,,"Human herpesvirus 4 strain H018436D, partial genome"
KP968263.1,,"Lei,H., Li,T., Li,B., Tsai,S., Biggar,R.J., Nkrumah,F., Neequaye,J., Gutierrez,M., Epelman,S., Mbulaiteye,S.M., Bhatia,K., Lo,S.C., Neequayee,J., Lo,S.-C.",2016-02-01,H058015C,,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,171818,GenBank,partial,,,1.0,Ghana,,Homo sapiens,lymph_tumor,1990-07-26,,"Human herpesvirus 4 strain H058015C, partial genome"
KP968264.1,,"Lei,H., Li,T., Li,B., Tsai,S., Biggar,R.J., Nkrumah,F., Neequaye,J., Gutierrez,M., Epelman,S., Mbulaiteye,S.M., Bhatia,K., Lo,S.C., Neequayee,J., Lo,S.-C.",2016-02-01,H002213,,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,171827,GenBank,partial,,,1.0,Ghana,,Homo sapiens,lymph_tumor,1981-02-08,,"Human herpesvirus 4 strain H002213, partial genome"
KT273942.1,,"Liu,Y., Yang,W., Pan,Y., Ji,J., Lu,Z., Ke,Y.",2016-01-11,,EBVaGC1,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,171957,GenBank,partial,,,1.0,China,,Homo sapiens,,2013,,"Human gammaherpesvirus 4 isolate EBVaGC1, partial genome"
KT273943.1,,"Liu,Y., Yang,W., Pan,Y., Ji,J., Lu,Z., Ke,Y.",2016-01-11,,EBVaGC2,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,171759,GenBank,partial,,,1.0,China,,Homo sapiens,,2013,,"Human gammaherpesvirus 4 isolate EBVaGC2, partial genome"
KT273944.1,,"Liu,Y., Yang,W., Pan,Y., Ji,J., Lu,Z., Ke,Y.",2016-01-11,,EBVaGC4,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,171661,GenBank,partial,,,1.0,China,,Homo sapiens,,2014,,"Human gammaherpesvirus 4 isolate EBVaGC4, partial genome"
KT273945.1,,"Liu,Y., Yang,W., Pan,Y., Ji,J., Lu,Z., Ke,Y.",2016-01-11,,EBVaGC5,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,171759,GenBank,partial,,,1.0,China,,Homo sapiens,,2009,,"Human gammaherpesvirus 4 isolate EBVaGC5, partial genome"
KT273946.1,,"Liu,Y., Yang,W., Pan,Y., Ji,J., Lu,Z., Ke,Y.",2016-01-11,,EBVaGC6,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,171612,GenBank,partial,,,1.0,China,,Homo sapiens,,2009,,"Human gammaherpesvirus 4 isolate EBVaGC6, partial genome"
KT273947.1,,"Liu,Y., Yang,W., Pan,Y., Ji,J., Lu,Z., Ke,Y.",2016-01-11,,EBVaGC7,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,171673,GenBank,partial,,,1.0,China,,Homo sapiens,,2009,,"Human gammaherpesvirus 4 isolate EBVaGC7, partial genome"
KT273948.1,,"Liu,Y., Yang,W., Pan,Y., Ji,J., Lu,Z., Ke,Y.",2016-01-11,,EBVaGC8,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,171664,GenBank,partial,,,1.0,China,,Homo sapiens,,2010,,"Human gammaherpesvirus 4 isolate EBVaGC8, partial genome"
KT273949.1,,"Liu,Y., Yang,W., Pan,Y., Ji,J., Lu,Z., Ke,Y.",2016-01-11,,EBVaGC9,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,171858,GenBank,partial,,,1.0,China,,Homo sapiens,,2010,,"Human gammaherpesvirus 4 isolate EBVaGC9, partial genome"
KU221090.1,,"Fielding,C.A., Weekes,M.P., Nobre,L.V., Ruckova,E., Wilkie,G.S., Paulo,J.A., Davies,J., Antrobus,P.R., Stanton,R.J., Aicheler,R., Nichols,H., Vojtesek,B., Davison,A.J., Gygi,S.P., Tomasec,P., Lehner,P.J., Wilkinson,G.W.G.",2015-12-31,Merlin,RCMV1595,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,234820,GenBank,complete,,,,,,Homo sapiens,,,,"Human betaherpesvirus 5 strain Merlin isolate RCMV1595, complete genome"
KU221091.1,,"Fielding,C.A., Weekes,M.P., Nobre,L.V., Ruckova,E., Wilkie,G.S., Paulo,J.A., Davies,J., Antrobus,P.R., Stanton,R.J., Aicheler,R., Nichols,H., Vojtesek,B., Davison,A.J., Gygi,S.P., Tomasec,P., Lehner,P.J., Wilkinson,G.W.G.",2015-12-31,Merlin,RCMV1654,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,234760,GenBank,complete,,,,,,Homo sapiens,,,,"Human betaherpesvirus 5 strain Merlin isolate RCMV1654, complete genome"
KU221092.1,,"Fielding,C.A., Weekes,M.P., Nobre,L.V., Ruckova,E., Wilkie,G.S., Paulo,J.A., Davies,J., Antrobus,P.R., Stanton,R.J., Aicheler,R., Nichols,H., Vojtesek,B., Davison,A.J., Gygi,S.P., Tomasec,P., Lehner,P.J., Wilkinson,G.W.G.",2015-12-31,Merlin,RCMV1796,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,234862,GenBank,complete,,,,,,Homo sapiens,,,,"Human betaherpesvirus 5 strain Merlin isolate RCMV1796, complete genome"
KU221093.1,,"Fielding,C.A., Weekes,M.P., Nobre,L.V., Ruckova,E., Wilkie,G.S., Paulo,J.A., Davies,J., Antrobus,P.R., Stanton,R.J., Aicheler,R., Nichols,H., Vojtesek,B., Davison,A.J., Gygi,S.P., Tomasec,P., Lehner,P.J., Wilkinson,G.W.G.",2015-12-31,Merlin,RCMV1798,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,234653,GenBank,complete,,,,,,Homo sapiens,,,,"Human betaherpesvirus 5 strain Merlin isolate RCMV1798, complete genome"
KU221094.1,,"Fielding,C.A., Weekes,M.P., Nobre,L.V., Ruckova,E., Wilkie,G.S., Paulo,J.A., Davies,J., Antrobus,P.R., Stanton,R.J., Aicheler,R., Nichols,H., Vojtesek,B., Davison,A.J., Gygi,S.P., Tomasec,P., Lehner,P.J., Wilkinson,G.W.G.",2015-12-31,Merlin,RCMV1800,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,234796,GenBank,complete,,,,,,Homo sapiens,,,,"Human betaherpesvirus 5 strain Merlin isolate RCMV1800, complete genome"
KU221095.1,,"Fielding,C.A., Weekes,M.P., Nobre,L.V., Ruckova,E., Wilkie,G.S., Paulo,J.A., Davies,J., Antrobus,P.R., Stanton,R.J., Aicheler,R., Nichols,H., Vojtesek,B., Davison,A.J., Gygi,S.P., Tomasec,P., Lehner,P.J., Wilkinson,G.W.G.",2015-12-31,Merlin,RCMV1802,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,234655,GenBank,complete,,,,,,Homo sapiens,,,,"Human betaherpesvirus 5 strain Merlin isolate RCMV1802, complete genome"
KU221096.1,,"Fielding,C.A., Weekes,M.P., Nobre,L.V., Ruckova,E., Wilkie,G.S., Paulo,J.A., Davies,J., Antrobus,P.R., Stanton,R.J., Aicheler,R., Nichols,H., Vojtesek,B., Davison,A.J., Gygi,S.P., Tomasec,P., Lehner,P.J., Wilkinson,G.W.G.",2015-12-31,Merlin,RCMV1804,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,234703,GenBank,complete,,,,,,Homo sapiens,,,,"Human betaherpesvirus 5 strain Merlin isolate RCMV1804, complete genome"
KU221097.1,,"Fielding,C.A., Weekes,M.P., Nobre,L.V., Ruckova,E., Wilkie,G.S., Paulo,J.A., Davies,J., Antrobus,P.R., Stanton,R.J., Aicheler,R., Nichols,H., Vojtesek,B., Davison,A.J., Gygi,S.P., Tomasec,P., Lehner,P.J., Wilkinson,G.W.G.",2015-12-31,Merlin,RCMV1810,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,dsDNA,234739,GenBank,complete,,,,,,Homo sapiens,,,,"Human betaherpesvirus 5 strain Merlin isolate RCMV1810, complete genome"
